SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
90.910004,91.379997,90.5,91.349998,32222600,66.524437
91.239998,93.489998,91.169998,92.959999,40984500,67.696915
92.900002,93.370003,92.199997,92.730003,38640400,67.529419
92.199997,92.400002,91.050003,91.389999,38702200,66.553566
91.82,93.18,91.410004,92.809998,34804900,67.587646
91.949997,93.639999,91.800003,93.059998,37768900,67.769699
93.540001,93.860001,92.440002,93.029999,31649900,67.747849
92.690002,93.830002,92.410004,93.330002,30733000,67.96637
93.540001,93.57,91.910004,92.400002,33511800,67.28907
92.5,92.93,91.449997,92.019997,44812100,67.01236
90.989998,92.300003,90.150002,90.660004,35618300,66.02198
90.870003,90.919998,88.949997,89.25,36826200,64.995148
88.769997,89.800003,88,88.169998,42286500,64.208641
88.75,89.379997,87.949997,88.709999,55919800,64.601898
88.589996,88.68,86.169998,86.379997,68633900,62.90509
85.730003,86.800003,84.5,85.199997,57884400,62.045784
85.629997,86.400002,85.129997,85.830002,46929100,62.504581
85.419998,87.18,84.769997,86.480003,53712200,62.977928
86.790001,86.879997,84.400002,84.43,49845900,61.485012
84.150002,86.209999,84.150002,86.059998,55317000,62.672066
86.139999,86.809998,85.919998,86.230003,39696000,62.795876
85.309998,85.75,84.300003,85.379997,43633400,62.176865
85.75,86.540001,84.480003,84.849998,55270600,61.790894
84.370003,84.889999,83.650002,84.449997,53638000,61.499607
84.910004,84.989998,82.970001,83.419998,43165000,60.749535
83.459999,84.129997,82.650002,84.010002,45455900,61.179199
84.370003,84.879997,82.830002,83.43,46861000,60.756813
83.160004,83.620003,82.089996,82.099998,35873600,59.78825
82.150002,82.660004,81,82.349998,57934100,59.970341
82.370003,84.199997,81.82,84.150002,59580900,61.281139
84.529999,85.800003,84.389999,85.629997,39492700,62.358932
85.32,85.470001,84.279999,85.18,31432000,62.031197
85.209999,85.419998,84.050003,84.330002,29280100,61.412239
84.379997,85.739998,83.459999,85.18,60955800,62.031197
84.93,85,83.589996,83.800003,30628600,61.02626
82.949997,84.489998,82.220001,84.470001,56770600,61.514175
